,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score,oldlower
0,5.0,1.9468384614399848e-19,8.939943983711077,12.344759615007757,0.21905589713165263,0.1453209768800633,0.7668,0.8919,0.9203,
1,5.0,0.09531695142027752,1.3087061643117694,13.171721076600281,0.2284522280439536,0.2180069607447639,0.836,0.8649,0.9203,
2,5.0,0.0015721832313425098,2.953260351993283,13.341545631280344,0.24246137916336608,0.221516456290621,0.8585,0.8519,0.9203,
3,5.0,8.302118630414333e-08,5.233819758951892,13.207891914145787,0.24213401109773813,0.2025461157878199,0.8609,0.8553,0.9203,
4,5.0,0.9943262162961729,-2.5318093417787715,13.369189431361907,0.22819313258348428,0.24424260242843798,0.893,0.8524,0.9203,
5,5.0,5.420693069913127e-06,4.399673516292369,12.794510828134037,0.21769544827036968,0.18526064642245277,0.8115,0.868,0.9203,
6,5.0,3.91310898193622e-17,8.333839232521042,12.892058938886436,0.2418295345864485,0.17365238571755892,0.7522,0.8784,0.9203,
7,5.0,2.1928729946368266e-22,9.661688542635545,12.626622020043868,0.23915477984986933,0.15786346002324358,0.843,0.875,0.9203,
8,5.0,1.7484764187146325e-18,8.69406570704837,12.810354426464485,0.23825297423793823,0.17633445757316735,0.8823,0.868,0.9203,
9,5.0,3.718055356293188e-16,8.063137000651743,12.90581398873313,0.24299269172093274,0.18140626897028522,0.8871,0.8731,0.9203,
10,5.0,2.6091510862829078e-23,9.87737288305482,12.141647288652491,0.20659437818503146,0.12760134722889105,0.8205,0.8899,0.9203,
11,5.0,1.0773047497109743e-14,7.641047858324706,12.855490470489658,0.2386087149440892,0.17370900426859204,0.7554,0.8682,0.9203,
12,5.0,1.9622361106218028e-11,6.606901401501464,12.78011141756295,0.2260954572928715,0.1716773154785155,0.8412,0.8907,0.9203,
13,5.0,4.86423864140871e-13,7.134294594342281,12.87936032073231,0.2361775755033536,0.1838914212796825,0.8735,0.888,0.9203,
14,5.0,1.5218578012850098e-40,13.2795119270781,12.737219663622508,0.25936495734952913,0.1571151570450925,0.8563,0.8806,0.9203,
15,5.0,4.025473036222751e-10,6.143919885008629,12.411470536685002,0.2071067118498291,0.1561263724698716,0.7396,0.895,0.9203,
16,5.0,1.6807421950942134e-13,7.27906229740615,12.965671188070253,0.24021181249465884,0.1856005739220573,0.7724,0.8644,0.9203,
17,5.0,0.4905711148407537,0.023636910958353186,13.228743056557338,0.22837536939751324,0.22819940313579434,0.814,0.8454,0.9203,
18,5.0,0.09699255403022478,1.2988800182570557,12.873774391990981,0.2052922231123231,0.19563134759372047,0.8737,0.8743,0.9203,
19,5.0,1.527742483693666e-64,16.922800744852072,12.208595040548254,0.24663968830900718,0.11121996453865579,0.8939,0.9004,0.9203,
20,5.0,0.5869286180390578,-0.2196512632472364,12.80623359546254,0.20289692635597045,0.2045584859907037,0.7526,0.8677,0.9203,
21,5.0,1.3904683065023476e-16,8.182465811392408,13.109871184644721,0.2505300874628966,0.18823235224750823,0.8149,0.8726,0.9203,
22,5.0,4.967536337576957e-19,8.835837930030259,13.139221030086588,0.2562156322812067,0.19276333137049395,0.8721,0.8776,0.9203,
23,5.0,0.00015922378891418867,3.5998118003369277,12.785500804867105,0.21021217450823326,0.18230649023036238,0.8737,0.8823,0.9203,
24,5.0,4.09725536219466e-05,3.93863902530691,13.190238725837412,0.23802392329578848,0.20952465385554553,0.8745,0.8568,0.9203,
25,5.0,8.741072702988452e-20,9.028010254545418,12.407375493972708,0.21563488324314073,0.1453236010453891,0.7838,0.8718,0.9203,
26,5.0,6.061838635715395e-16,8.003189875590483,12.991794066607689,0.2426181137861948,0.1765408059363589,0.7903,0.8644,0.9203,
27,5.0,6.580365254042804e-14,7.404538538781103,13.224852542354004,0.2561488405513058,0.2020719585187054,0.8532,0.8538,0.9203,
28,5.0,1.7145787193931309e-09,5.909611384698234,12.773330371980974,0.2250397151241712,0.17540233069164868,0.8784,0.8796,0.9203,
29,5.0,5.02133657534899e-13,7.129920751901152,12.838086403706228,0.23041276269892308,0.1734823618840795,0.8607,0.8731,0.9203,
30,5.0,1.1388741640370328e-23,9.960125574363879,12.527030798405097,0.2300850454847022,0.15231771672923278,0.7759,0.8715,0.9203,
31,5.0,1.4701599438607972e-18,8.713731630605961,12.685998476236955,0.2332857951462658,0.1593087489761449,0.8233,0.8612,0.9203,
32,5.0,1.5281038541509798e-13,7.2918970061039445,12.919138384120721,0.23595920084317834,0.18359351417892855,0.8535,0.856,0.9203,
33,5.0,1.0156535377678792e-07,5.196449538014571,12.723006853737502,0.21809937504402033,0.17426460936735555,0.857,0.8499,0.9203,
34,5.0,1.885631950089956e-105,21.77775226249431,12.668349060433972,0.2830767093930806,0.1373473586929278,0.8806,0.8815,0.9203,
35,5.0,1.4504887847778627e-26,10.602506941672143,12.380009138084972,0.22375236220696282,0.14171115954558788,0.7363,0.8875,0.9203,
36,5.0,3.465467805803906e-20,9.128727162645928,12.961793980206817,0.24805868970354794,0.1756452538982738,0.764,0.8728,0.9203,
37,5.0,0.9478492976022111,-1.6243487198642048,13.294705877947914,0.22963390829438457,0.24035912163900897,0.8457,0.8491,0.9203,
38,5.0,6.658966196618418e-08,5.27441624349321,13.160304495147173,0.2426182303297849,0.20344990018209896,0.8735,0.8511,0.9203,
39,5.0,2.1803763751780217e-11,6.591271605702947,13.024964545632585,0.23778129274269766,0.18619894667137327,0.8729,0.8654,0.9203,
40,5.0,7.146784853171065e-05,3.8030323239547816,12.716421993258445,0.20796937455934306,0.1801525662051522,0.7611,0.8604,0.9203,
41,5.0,4.982532193037723e-22,9.577263017209436,12.741403298584927,0.24262754982747492,0.16262584641397493,0.8502,0.8859,0.9203,
42,5.0,1.0260665877471697e-05,4.2591417412211525,13.275166700781218,0.24587286988364876,0.21629637526821655,0.8306,0.8492,0.9203,
43,5.0,0.009241202466235205,2.3558092655858407,12.990206420260341,0.21657096388951957,0.19836874585840714,0.87,0.8592,0.9203,
44,5.0,3.9006221567825563e-32,11.741582968605705,13.28858133217714,0.2759973827253275,0.1973698273276958,0.8733,0.8645,0.9203,
45,5.0,0.0013634639229797181,2.9969529636719856,12.93170434158322,0.22207477096075323,0.19782790504811054,0.7767,0.8734,0.9203,
46,5.0,5.875156353260578e-31,11.509981851433217,12.735693931270182,0.24628426841379114,0.15891761415854355,0.8121,0.8776,0.9203,
47,5.0,0.024966585947110004,1.9605360223492305,13.322582210160846,0.24438610685415907,0.22969882548558607,0.8649,0.8528,0.9203,
48,5.0,1.5360148886310681e-25,10.379555245281836,12.952496377942165,0.25706977752353344,0.18179533782355906,0.8582,0.8644,0.9203,
49,5.0,6.494491078715616e-17,8.273676926746296,13.108163399459102,0.2494526498141476,0.18511029333219564,0.8825,0.8696,0.9203,
50,5.0,0.00016888591496832725,3.5844634725002993,12.91235509600215,0.22074951201101112,0.19562263267266733,0.7543,0.8593,0.9203,
51,5.0,3.627698237240456e-23,9.8442840236404,12.844608610912669,0.2477587885111342,0.16962231773916892,0.8344,0.8716,0.9203,
52,5.0,6.506942887815356e-09,5.685882494063404,13.130820221831934,0.24323301650859674,0.20109982937440973,0.8106,0.8716,0.9203,
53,5.0,5.485326939021732e-25,10.257322420237552,13.346531968814578,0.2752726110574283,0.20397971183827446,0.878,0.8683,0.9203,
54,5.0,1.4395510795153756e-23,9.936806176588464,12.932415868600227,0.2533895768601352,0.17474548845644589,0.8677,0.8781,0.9203,
55,5.0,8.398603519919158e-17,8.242981131992435,12.659235749281173,0.22648573493667012,0.16224828279829084,0.8088,0.8754,0.9203,-227.9756659465092
56,5.0,1.9491881113759022e-05,4.113421513553231,13.132545850009507,0.23758180745541424,0.20930279797660012,0.7892,0.8277,0.9203,-228.44070742471908
57,5.0,4.6831006825206846e-30,11.329571320843625,12.45875048345828,0.2305020782974383,0.1313445444753596,0.8518,0.8898,0.9203,-216.2094920763111
58,5.0,0.12411739333964977,1.1546475488690615,12.864548229092891,0.20986856503854812,0.20109936879312984,0.8681,0.8576,0.9203,-221.44509337324416
59,5.0,4.727281053415908e-11,6.475424712287746,13.311457007383044,0.2593594490659834,0.21544922191769567,0.866,0.8623,0.9203,-229.51121254027277
60,5.0,3.2663166058610147e-39,13.04789640472086,12.415676342547869,0.24045025576688228,0.13965654971019414,0.8118,0.8883,0.9203,-224.60720511727118
61,5.0,0.7446333406484578,-0.6576962714656506,13.27583457489859,0.2292023524437582,0.23351064948288547,0.8106,0.8606,0.9203,-222.28920946808304
62,5.0,1.2579121626663452e-05,4.213375371194749,12.822420567372834,0.21669073237578074,0.18099984985175266,0.8401,0.8711,0.9203,-220.6045245017357
