,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score,oldlower
0,5.0,1.0,-8.939943983711105,12.344759615007757,0.1453209768800633,0.21905589713165263,0.7668,0.8919,0.9203,
1,5.0,0.9046830485797221,-1.308706164311767,13.171721076600281,0.2180069607447639,0.2284522280439536,0.836,0.8649,0.9203,
2,5.0,0.9984278167686574,-2.95326035199327,13.341545631280344,0.221516456290621,0.24246137916336608,0.8585,0.8519,0.9203,
3,5.0,0.9999999169788137,-5.233819758951882,13.207891914145787,0.2025461157878199,0.24213401109773813,0.8609,0.8553,0.9203,
4,5.0,0.005673783703827255,2.531809341778764,13.369189431361907,0.24424260242843798,0.22819313258348428,0.893,0.8524,0.9203,
5,5.0,0.99999457930693,-4.399673516292369,12.794510828134037,0.18526064642245277,0.21769544827036968,0.8115,0.868,0.9203,
6,5.0,1.0,-8.333839232521015,12.892058938886436,0.17365238571755892,0.2418295345864485,0.7522,0.8784,0.9203,
7,5.0,1.0,-9.661688542635545,12.626622020043868,0.15786346002324358,0.23915477984986933,0.843,0.875,0.9203,
8,5.0,1.0,-8.694065707048388,12.810354426464485,0.17633445757316735,0.23825297423793823,0.8823,0.868,0.9203,
9,5.0,0.9999999999999997,-8.063137000651789,12.90581398873313,0.18140626897028522,0.24299269172093274,0.8871,0.8731,0.9203,
10,5.0,1.0,-9.877372883054802,12.141647288652491,0.12760134722889105,0.20659437818503146,0.8205,0.8899,0.9203,
11,5.0,0.9999999999999892,-7.6410478583246935,12.855490470489658,0.17370900426859204,0.2386087149440892,0.7554,0.8682,0.9203,
12,5.0,0.9999999999803776,-6.6069014015014735,12.78011141756295,0.1716773154785155,0.2260954572928715,0.8412,0.8907,0.9203,
13,5.0,0.9999999999995136,-7.134294594342266,12.87936032073231,0.1838914212796825,0.2361775755033536,0.8735,0.888,0.9203,
14,5.0,1.0,-13.279511927078051,12.737219663622508,0.1571151570450925,0.25936495734952913,0.8563,0.8806,0.9203,
15,5.0,0.9999999995974527,-6.143919885008659,12.411470536685002,0.1561263724698716,0.2071067118498291,0.7396,0.895,0.9203,
16,5.0,0.9999999999998319,-7.279062297406193,12.965671188070253,0.1856005739220573,0.24021181249465884,0.7724,0.8644,0.9203,
17,5.0,0.5094288851592462,-0.023636910958353092,13.228743056557338,0.22819940313579434,0.22837536939751324,0.814,0.8454,0.9203,
18,5.0,0.9030074459697752,-1.2988800182570557,12.873774391990981,0.19563134759372047,0.2052922231123231,0.8737,0.8743,0.9203,
19,5.0,1.0,-16.922800744851983,12.208595040548254,0.11121996453865579,0.24663968830900718,0.8939,0.9004,0.9203,
20,5.0,0.4130713819609425,0.21965126324723558,12.80623359546254,0.2045584859907037,0.20289692635597045,0.7526,0.8677,0.9203,
21,5.0,0.9999999999999999,-8.182465811392424,13.109871184644721,0.18823235224750823,0.2505300874628966,0.8149,0.8726,0.9203,
22,5.0,1.0,-8.835837930030277,13.139221030086588,0.19276333137049395,0.2562156322812067,0.8721,0.8776,0.9203,
23,5.0,0.9998407762110858,-3.5998118003369277,12.785500804867105,0.18230649023036238,0.21021217450823326,0.8737,0.8823,0.9203,
24,5.0,0.9999590274463781,-3.9386390253069017,13.190238725837412,0.20952465385554553,0.23802392329578848,0.8745,0.8568,0.9203,
25,5.0,1.0,-9.028010254545402,12.407375493972708,0.1453236010453891,0.21563488324314073,0.7838,0.8718,0.9203,
26,5.0,0.9999999999999994,-8.00318987559051,12.991794066607689,0.1765408059363589,0.2426181137861948,0.7903,0.8644,0.9203,
27,5.0,0.9999999999999342,-7.404538538781103,13.224852542354004,0.2020719585187054,0.2561488405513058,0.8532,0.8538,0.9203,
28,5.0,0.9999999982854213,-5.909611384698234,12.773330371980974,0.17540233069164868,0.2250397151241712,0.8784,0.8796,0.9203,
29,5.0,0.9999999999994978,-7.129920751901117,12.838086403706228,0.1734823618840795,0.23041276269892308,0.8607,0.8731,0.9203,
30,5.0,1.0,-9.960125574363897,12.527030798405097,0.15231771672923278,0.2300850454847022,0.7759,0.8715,0.9203,
31,5.0,1.0,-8.713731630605947,12.685998476236955,0.1593087489761449,0.2332857951462658,0.8233,0.8612,0.9203,
32,5.0,0.9999999999998472,-7.2918970061039445,12.919138384120721,0.18359351417892855,0.23595920084317834,0.8535,0.856,0.9203,
33,5.0,0.9999998984346462,-5.196449538014555,12.723006853737502,0.17426460936735555,0.21809937504402033,0.857,0.8499,0.9203,
34,5.0,1.0,-21.77775226249431,12.668349060433972,0.1373473586929278,0.2830767093930806,0.8806,0.8815,0.9203,
35,5.0,1.0,-10.602506941672143,12.380009138084972,0.14171115954558788,0.22375236220696282,0.7363,0.8875,0.9203,
36,5.0,1.0,-9.12872716264591,12.961793980206817,0.1756452538982738,0.24805868970354794,0.764,0.8728,0.9203,
37,5.0,0.052150702397788455,1.624348719864209,13.294705877947914,0.24035912163900897,0.22963390829438457,0.8457,0.8491,0.9203,
38,5.0,0.999999933410338,-5.274416243493189,13.160304495147173,0.20344990018209896,0.2426182303297849,0.8735,0.8511,0.9203,
39,5.0,0.9999999999781962,-6.591271605702983,13.024964545632585,0.18619894667137327,0.23778129274269766,0.8729,0.8654,0.9203,
40,5.0,0.9999285321514683,-3.80303232395479,12.716421993258445,0.1801525662051522,0.20796937455934306,0.7611,0.8604,0.9203,
41,5.0,1.0,-9.577263017209452,12.741403298584927,0.16262584641397493,0.24262754982747492,0.8502,0.8859,0.9203,
42,5.0,0.9999897393341225,-4.259141741221123,13.275166700781218,0.21629637526821655,0.24587286988364876,0.8306,0.8492,0.9203,
43,5.0,0.9907587975337647,-2.3558092655858363,12.990206420260341,0.19836874585840714,0.21657096388951957,0.87,0.8592,0.9203,
44,5.0,1.0,-11.741582968605677,13.28858133217714,0.1973698273276958,0.2759973827253275,0.8733,0.8645,0.9203,
45,5.0,0.9986365360770203,-2.996952963671996,12.93170434158322,0.19782790504811054,0.22207477096075323,0.7767,0.8734,0.9203,
46,5.0,1.0,-11.509981851433217,12.735693931270182,0.15891761415854355,0.24628426841379114,0.8121,0.8776,0.9203,
